model,id,value,passed
Reference (Box 3),C1,calm 0.61 vs dense 1.89 (true 0.5 vs 2.0),True
Reference (Box 3),C2,1.01 (24-h mean rate 0.87),True
Reference (Box 3),S1,ratio 1.071,True
Reference (Box 3),C11,0.28 events/min,True
Reference (Box 3),C3,from calm 101%; from dense 67%,True
Reference (Box 3),C4,19 min,True
Reference (Box 3),C4b,4: 18 min / 16: 19 min / 32: 20 min,True
Reference (Box 3),C5,calm 3.96 vs dense 3.61 events/min,True
Reference (Box 3),C6,isolated +4.4%; one a day for 28 days +12%,True
Reference (Box 3),C7,1: 1.13 / 4: 1.52 / 8: 2.04 / 16: 2.92,True
Reference (Box 3),C8,0.38 vs 0.05 events/min,True
Reference (Box 3),C9,half-recovery 2.4 d; calm mismatch 1.99 -> 0.45,True
Reference (Box 3),C10,98%,True
Reference (Box 3),P1,1.29 / 2.04 / 3.45,True
Reference (Box 3),P2,2 min 54% / 5 min 94% / 10 min 103% / 20 min 107% / 40 min 101%,True
Reference (Box 3),P3,1 x 160 min 1.79 / 4 x 40 min 2.06 / 16 x 10 min 2.92 / 32 x 5 min 3.13,True
Reference (Box 3),P4,1 d 1.61 / 3 d 2.34 / 7 d 2.92 / 14 d 3.16 / 28 d 3.24,True
Reference (Box 3),P5,fragmented / concentrated = 1.60,True
A1 sign-dependent learning rate,C1,calm 1.53 vs dense 3.62 (true 0.5 vs 2.0),True
A1 sign-dependent learning rate,C2,2.10 (24-h mean rate 0.87),False
A1 sign-dependent learning rate,S1,ratio 1.900,False
A1 sign-dependent learning rate,C11,0.34 events/min,True
A1 sign-dependent learning rate,C3,from calm 105%; from dense 105%,True
A1 sign-dependent learning rate,C4,16 min,True
A1 sign-dependent learning rate,C4b,4: 14 min / 16: 18 min / 32: 19 min,False
A1 sign-dependent learning rate,C5,calm 4.94 vs dense 4.37 events/min,True
A1 sign-dependent learning rate,C6,isolated +1.9%; one a day for 28 days +4%,False
A1 sign-dependent learning rate,C7,1: 2.22 / 4: 2.56 / 8: 3.05 / 16: 3.92,True
A1 sign-dependent learning rate,C8,1.02 vs 0.90 events/min,False
A1 sign-dependent learning rate,C9,half-recovery 2.2 d; calm mismatch 2.82 -> 1.25,True
A1 sign-dependent learning rate,C10,142%,True
A1 sign-dependent learning rate,P1,2.45 / 3.05 / 4.27,True
A1 sign-dependent learning rate,P2,2 min 93% / 5 min 120% / 10 min 137% / 20 min 142% / 40 min 141%,True
A1 sign-dependent learning rate,P3,1 x 160 min 3.03 / 4 x 40 min 3.21 / 16 x 10 min 3.92 / 32 x 5 min 4.54,True
A1 sign-dependent learning rate,P4,1 d 2.66 / 3 d 3.38 / 7 d 3.92 / 14 d 4.15 / 28 d 4.21,True
A1 sign-dependent learning rate,P5,fragmented / concentrated = 1.28,True
"A2 long-window surprise, both directions",C1,calm 0.68 vs dense 2.01 (true 0.5 vs 2.0),True
