setting,w1_low,w1_high,surprise_threshold,surprise_smoothing,w_down0,mu_star,w2,C1,C2,S1,C11,C3,C4,C4b,C5,C6,C7,C8,C12,C9,C10,P1,P2,P3,P4,P5,core_joint,all_joint
reference,0.05,0.7,10.0,0.3,0.05,0.25,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time w1_low x0.5,0.025,0.7,10.0,0.3,0.05,0.25,0.000231,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
one-at-a-time w1_low x2.0,0.1,0.7,10.0,0.3,0.05,0.25,0.000231,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
one-at-a-time w1_high x0.5,0.05,0.35,10.0,0.3,0.05,0.25,0.000231,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
one-at-a-time w1_high x2.0,0.05,0.95,10.0,0.3,0.05,0.25,0.000231,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
one-at-a-time surprise_threshold x0.5,0.05,0.7,5.0,0.3,0.05,0.25,0.000231,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
one-at-a-time surprise_threshold x2.0,0.05,0.7,20.0,0.3,0.05,0.25,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
one-at-a-time surprise_smoothing x0.5,0.05,0.7,10.0,0.15,0.05,0.25,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time surprise_smoothing x2.0,0.05,0.7,10.0,0.6,0.05,0.25,0.000231,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
one-at-a-time w_down0 x0.5,0.05,0.7,10.0,0.3,0.025,0.25,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time w_down0 x2.0,0.05,0.7,10.0,0.3,0.1,0.25,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time mu_star x0.5,0.05,0.7,10.0,0.3,0.05,0.125,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time mu_star x2.0,0.05,0.7,10.0,0.3,0.05,0.5,0.000231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time w2 x0.5,0.05,0.7,10.0,0.3,0.05,0.25,0.000116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
one-at-a-time w2 x2.0,0.05,0.7,10.0,0.3,0.05,0.25,0.000463,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
random 01,0.032038,0.849834,9.556384,0.2507,0.04089,0.373981,0.000406,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
random 02,0.031968,0.865135,7.560772,0.57314,0.089484,0.301816,0.000329,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 03,0.051061,0.95,9.309406,0.239926,0.03675,0.171071,0.00024,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
random 04,0.045433,0.877693,5.0898,0.27902,0.041476,0.163889,0.000264,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
random 05,0.045711,0.530495,6.684225,0.504275,0.07552,0.289858,0.000187,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
random 06,0.092893,0.764284,9.110016,0.522656,0.038923,0.32805,0.000179,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
